R=2000," Q=[2000, 10, 100]"," MassCenterhAndb=[0.5195, 0.4964]",Description = 
Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az,phi_Gyro_intArd
1.2155706882476807,0.010099172592163086,3.9,1.2959100261922358,0.0308,-0.10528580785003631,0.0,0,0.0,0.0308,0.0308,0.0,-0.01,0.04,0.03,1.02,7.59
1.2660956382751465,0.02045893669128418,3.9,1.2959100261922358,0.0311,-0.10712547922376006,0.01,0,0.0,0.0312,0.0311,0.01,0.01,0.03,0.03,0.97,7.61
1.2956485748291016,0.009835958480834961,3.9,1.781445791034903,0.0315,-0.10803116359236253,0.01,0,0.0,0.0317,0.0315,0.01,0.01,0.03,0.03,0.98,7.64
1.345198631286621,0.019210100173950195,3.9,1.781445791034903,0.0321,-0.10825758468451314,0.02,0,0.0,0.0324,0.0321,0.02,0.0,0.04,0.03,1.02,7.67
1.3761303424835205,0.009950876235961914,3.9,1.781445791034903,0.0328,-0.10825758468451314,0.02,0,0.0,0.0331,0.0328,0.02,0.02,0.03,0.03,1.03,7.71
1.4252362251281738,0.018875837326049805,3.9,1.781445791034903,0.0335,-0.10825758468451314,0.02,0,0.0,0.0337,0.0335,0.02,0.04,0.03,0.03,0.96,7.75
1.4567832946777344,0.010246038436889648,3.9,1.781445791034903,0.0342,-0.10825758468451314,0.02,0,0.0,0.0345,0.0342,0.02,0.0,0.04,0.04,1.0,7.79
1.506589412689209,0.01988506317138672,3.9,2.1108297865830603,0.035,-0.10825758468451314,0.02,0,0.0,0.0352,0.035,0.02,0.02,0.03,0.03,1.03,7.84
1.557769536972046,0.030874013900756836,3.9,2.1108297865830603,0.0356,-0.10825758468451314,0.02,0,0.0,0.0359,0.0356,0.02,0.04,0.03,0.03,0.97,7.88
1.5824856758117676,0.015320062637329102,3.9,2.1108297865830603,0.0363,-0.10825758468451314,0.02,0,0.0,0.0366,0.0363,0.02,-0.0,0.04,0.04,1.0,7.91
1.6264936923980713,0.0191190242767334,3.9,2.1108297865830603,0.037,-0.10825758468451314,0.02,0,0.0,0.0372,0.037,0.02,0.02,0.04,0.03,1.02,7.95
1.6584055423736572,0.010852813720703125,3.9,2.1108297865830603,0.0375,-0.10825758468451314,0.01,0,0.0,0.0377,0.0375,0.01,0.03,0.03,0.03,0.97,7.98
1.7070963382720947,0.01937699317932129,3.9,2.403378013962473,0.038,-0.10825758468451314,0.01,0,0.0,0.0381,0.038,0.01,-0.02,0.05,0.05,0.99,8.0
1.7381553649902344,0.010278940200805664,3.9,2.403378013962473,0.0385,-0.10848400577666376,0.01,0,0.0,0.0386,0.0385,0.01,0.01,0.03,0.03,0.98,8.02
1.7873361110687256,0.019302845001220703,3.9,2.403378013962473,0.0388,-0.10896515059748382,0.0,0,0.0,0.0389,0.0388,0.0,-0.01,0.03,0.04,0.96,8.04
1.8188612461090088,0.010651111602783203,3.9,2.403378013962473,0.0392,-0.10896515059748382,0.0,0,0.0,0.0392,0.0392,0.0,-0.03,0.05,0.05,1.07,8.06
1.8676342964172363,0.01926398277282715,3.9,2.688651847207315,0.0397,-0.10989913760260511,0.01,0,0.0,0.0398,0.0397,0.01,0.03,0.05,0.05,0.95,8.08
1.8989503383636475,0.010410070419311523,3.9,2.688651847207315,0.0402,-0.11117275624595233,0.01,0,0.0,0.0403,0.0402,0.01,-0.02,0.05,0.05,0.98,8.1
1.948657512664795,0.019952058792114258,3.9,2.688651847207315,0.0407,-0.1115689931572159,0.01,0,0.0,0.0408,0.0407,0.01,0.02,0.04,0.04,1.02,8.13
1.9797184467315674,0.01084589958190918,3.9,2.9059987408241854,0.0412,-0.11476719108384335,0.01,0,0.0,0.0414,0.0412,0.01,0.04,0.04,0.04,1.0,8.16
2.0283496379852295,0.01933121681213379,3.9,2.9059987408241854,0.0418,-0.11589929654459642,0.02,0,0.0,0.042,0.0418,0.02,-0.02,0.04,0.03,1.03,8.19
2.0591866970062256,0.010010957717895508,3.9,2.9059987408241854,0.0425,-0.11974845511115689,0.02,0,0.0,0.0428,0.0425,0.02,0.04,0.05,0.04,0.92,8.24
2.1090776920318604,0.019731998443603516,3.9,2.9059987408241854,0.0431,-0.12150321857532416,0.02,0,0.0,0.0434,0.0431,0.02,-0.0,0.03,0.03,1.02,8.28
2.1398067474365234,0.01029205322265625,3.9,3.2009703955598883,0.0433,-0.12351270576816088,0.0,0,0.0,0.0434,0.0433,0.0,0.03,0.04,0.05,1.01,8.3
2.1890175342559814,0.0193328857421875,3.9,3.2009703955598883,0.0434,-0.12642787732960006,-0.0,0,0.0,0.0434,0.0434,-0.0,0.01,0.04,0.05,1.01,8.3
2.21955943107605,0.00969696044921875,3.9,3.2009703955598883,0.0429,-0.12903171988933215,-0.01,0,0.0,0.0428,0.0429,-0.01,0.01,0.01,0.03,0.96,8.28
2.269381523132324,0.01935601234436035,3.9,3.367065564721389,0.0418,-0.13228652308899724,-0.03,0,0.0,0.0415,0.0418,-0.03,0.0,0.01,0.03,1.02,8.23
2.300081491470337,0.009818077087402344,3.9,3.367065564721389,0.0402,-0.13503187883132345,-0.04,0,0.0,0.0397,0.0402,-0.04,0.0,0.02,0.03,0.99,8.15
2.35103440284729,0.02059197425842285,3.9,3.367065564721389,0.0382,-0.13845649785010153,-0.05,0,0.0,0.0375,0.0382,-0.05,-0.01,0.01,0.03,0.98,8.04
2.3804984092712402,0.009891986846923828,3.9,3.5350152604193905,0.0356,-0.1413716694115407,-0.07,0,0.0,0.0346,0.0356,-0.07,0.01,-0.0,0.01,0.99,7.9
2.42991042137146,0.01912403106689453,3.9,3.5350152604193905,0.0323,-0.14256038014533143,-0.08,0,0.0,0.0312,0.0323,-0.08,-0.01,0.02,0.03,1.02,7.72
2.4608402252197266,0.00989389419555664,3.9,3.5350152604193905,0.0285,-0.14456986733816815,-0.1,0,0.0,0.0271,0.0285,-0.1,0.0,-0.01,0.01,0.95,7.52
2.509840250015259,0.018713951110839844,3.9,3.766704880562242,0.024,-0.14488119633987523,-0.11,0,0.0,0.0224,0.024,-0.11,0.0,-0.01,0.0,1.01,7.28
2.541029453277588,0.009739160537719727,3.9,3.766704880562242,0.019,-0.1454755517067706,-0.12,0,0.0,0.0172,0.019,-0.12,0.01,-0.01,0.01,1.02,7.0
2.5907955169677734,0.019276142120361328,3.9,3.766704880562242,0.0138,-0.1454755517067706,-0.13,0,0.0,0.0118,0.0138,-0.13,0.02,-0.01,-0.0,1.01,6.71
2.6212363243103027,0.00954580307006836,3.9,3.911031122151123,0.0084,-0.1454755517067706,-0.13,0,0.0,0.0064,0.0084,-0.13,0.02,0.0,0.0,1.0,6.41
2.6712541580200195,0.0193939208984375,3.9,3.911031122151123,0.0034,-0.14391890669823512,-0.12,0,0.0,0.0016,0.0034,-0.12,0.02,0.0,-0.01,0.98,6.13
2.7024078369140625,0.010373830795288086,3.9,3.911031122151123,-0.001,-0.13180537826817718,-0.1,0,0.0,-0.0027,-0.001,-0.1,0.01,0.01,-0.01,1.01,5.89
2.751077651977539,0.01887202262878418,3.9,3.978895526784316,-0.0042,-0.12260702139955842,-0.07,0,0.0,-0.0055,-0.0042,-0.07,0.03,0.02,-0.01,0.98,5.7
2.782193660736084,0.009821891784667969,3.9,3.978895526784316,-0.006,-0.1128143091640443,-0.04,0,0.0,-0.0068,-0.006,-0.04,0.01,0.03,-0.01,1.01,5.59
2.8313424587249756,0.018811941146850586,3.9,3.893104053099222,-0.0067,-0.10525750521351748,-0.0,0,0.0,-0.0069,-0.0067,-0.0,-0.0,0.04,0.01,1.01,5.55
2.8624355792999268,0.009741067886352539,3.9,3.893104053099222,-0.0062,-0.10282347847289837,0.02,0,0.0,-0.006,-0.0062,0.02,0.01,0.03,-0.01,0.98,5.57
2.9118094444274902,0.018939971923828125,3.9,3.893104053099222,-0.0047,-0.10282347847289837,0.04,0,0.0,-0.004,-0.0047,0.04,0.01,0.04,0.01,0.99,5.66
2.942915439605713,0.009865999221801758,3.9,3.8462847565778655,-0.0026,-0.10282347847289837,0.05,0,0.0,-0.0017,-0.0026,0.05,0.01,0.01,-0.0,0.99,5.77
2.992084264755249,0.01886582374572754,3.9,3.8462847565778655,-0.0007,-0.10588016321693168,0.04,0,0.0,0.0002,-0.0007,0.04,-0.01,0.01,0.01,1.02,5.88
3.023285388946533,0.00976705551147461,3.9,3.8462847565778655,0.0007,-0.11131426942854646,0.03,0,0.0,0.0015,0.0007,0.03,0.01,-0.01,-0.0,0.95,5.96
3.073359489440918,0.01967906951904297,3.9,3.8955786055646064,0.0026,-0.11524833590466341,0.01,0.589379010939629,0.0,0.003,0.0026,0.01,0.0,-0.01,0.01,1.04,6.06
3.1028194427490234,0.00896906852722168,3.9,3.8955786055646064,0.0026,-0.11510682272206928,0.01,0.5886258329465188,0.0,0.0031,0.0026,0.01,-0.0,-0.01,0.0,1.05,6.06
3.1526753902435303,0.0186460018157959,3.9,3.8955786055646064,0.0027,-0.09668180634831292,-0.0,0.5013379241811785,0.0,0.0029,0.0027,-0.0,0.01,-0.01,0.0,1.0,6.07
3.182945728302002,0.008751153945922852,3.9,3.857391609753134,0.0026,-0.07319061803768653,-0.0,0.3743130674038632,0.0,0.0028,0.0026,-0.0,0.0,-0.0,-0.0,0.98,6.06
3.2325518131256104,0.01818108558654785,3.9,3.857391609753134,0.0031,-0.05272781183457464,0.02,0.2405213400072471,0.0,0.0034,0.0031,0.02,0.01,0.02,0.01,0.99,6.09
3.263810634613037,0.009274959564208984,3.9,3.857391609753134,0.0055,-0.037840625025671655,0.07,0.0922266086164114,0.0,0.0062,0.0055,0.07,0.02,0.1,0.05,1.0,6.2
3.312694549560547,0.017853975296020508,3.9,3.9227491625345428,0.0107,-0.028132820699714005,0.14,-0.056601744648042435,0.0,0.0124,0.0107,0.14,0.03,0.13,0.06,0.99,6.45
3.344426393508911,0.009350061416625977,3.9,3.9227491625345428,0.0181,-0.02425535949663471,0.19,-0.1685024995427129,0.0,0.0206,0.0181,0.19,0.02,0.1,0.05,0.99,6.85
3.3933792114257812,0.018127918243408203,3.9,3.908048378767685,0.0267,-0.026349754599027907,0.21,-0.22437887260049255,0.0,0.0299,0.0267,0.21,-0.0,0.11,0.07,1.0,7.31
3.4243521690368652,0.008903026580810547,3.9,3.908048378767685,0.0363,-0.033057479453989895,0.23,-0.2577096742503636,0.0,0.0398,0.0363,0.23,0.02,0.1,0.08,0.99,7.82
3.4736342430114746,0.01801300048828125,3.9,3.908048378767685,0.0465,-0.041831296774826256,0.24,-0.2717564748129256,0.0,0.0502,0.0465,0.24,0.02,0.1,0.08,0.97,8.37
3.504664182662964,0.008868932723999023,3.9,3.862398922706262,0.0565,-0.052388180196348715,0.24,-0.27978917572713613,0.0,0.0603,0.0565,0.24,0.01,0.08,0.08,0.97,8.93
3.5543372631073,0.018234968185424805,3.9,3.862398922706262,0.0658,-0.06390735325951129,0.22,-0.2422506438689257,0.0,0.0694,0.0658,0.22,0.0,0.07,0.09,1.01,9.44
3.5853934288024902,0.009134054183959961,3.9,3.862398922706262,0.0744,-0.07503028941141028,0.2,-0.20331751995519678,0.0,0.0777,0.0744,0.2,-0.01,0.07,0.09,0.98,9.91
3.6344804763793945,0.01804804801940918,3.9,3.877654025978781,0.0823,-0.08487960691996208,0.19,-0.17297544636588702,0.0,0.0853,0.0823,0.19,-0.01,0.07,0.09,0.96,10.35
3.6655075550079346,0.008890151977539062,3.9,3.877654025978781,0.0894,-0.09322888469301603,0.17,-0.14104428132044441,0.0,0.0921,0.0894,0.17,-0.01,0.08,0.1,1.01,10.76
3.7149064540863037,0.018110990524291992,3.9,3.877654025978781,0.096,-0.1006441754609487,0.16,-0.12297336726440294,0.0,0.0984,0.096,0.16,0.01,0.09,0.11,1.01,11.13
3.7462053298950195,0.009225845336914062,3.9,3.8431276833442416,0.1019,-0.1068424528585718,0.14,-0.11162218289072748,0.0,0.1041,0.1019,0.14,0.0,0.07,0.1,1.0,11.46
3.795778512954712,0.018624067306518555,3.9,3.8431276833442416,0.1062,-0.11202183534151713,0.09,-0.048012683246832555,0.0,0.1078,0.1062,0.09,0.01,0.05,0.09,0.98,11.72
3.826810836791992,0.00947713851928711,3.9,3.8431276833442416,0.1089,-0.11657855982104827,0.05,0.008786821498153172,0.0,0.1098,0.1089,0.05,0.01,0.07,0.11,0.99,11.88
3.8755059242248535,0.01799798011779785,3.9,3.9359815328824,0.1109,-0.11918240238078036,0.04,0.06306440114670762,0.0,0.1114,0.1109,0.04,0.03,0.09,0.12,0.97,11.98
3.906822919845581,0.00914907455444336,3.9,3.9359815328824,0.113,-0.11963524456508158,0.05,0.044425444151840306,0.0,0.1133,0.113,0.05,0.02,0.13,0.12,1.0,12.08
3.956122875213623,0.018271923065185547,3.9,3.8918638500789435,0.1141,-0.1179653890104708,0.04,0.021962546120864353,0.0,0.1144,0.1141,0.04,0.01,0.07,0.08,1.02,12.16
4.0093958377838135,0.03137397766113281,3.9,3.8918638500789435,0.1149,-0.11640874400193531,0.03,0.02104239207137166,0.0,0.115,0.1149,0.03,0.02,0.07,0.08,1.01,12.24
4.027463912963867,0.009258031845092773,3.9,3.8918638500789435,0.1159,-0.11575778336200229,0.03,0.012668391424372545,0.0,0.116,0.1159,0.03,0.01,0.1,0.09,0.95,12.32
4.076395750045776,0.018019914627075195,3.9,3.8471590762760304,0.1171,-0.11519173063162576,0.04,-0.02659412698542918,0.0,0.1173,0.1171,0.04,0.01,0.09,0.09,0.99,12.41
4.107395887374878,0.008856058120727539,3.9,3.8471590762760304,0.1182,-0.11522003326814458,0.04,-0.031977454491963764,0.0,0.1184,0.1182,0.04,0.02,0.1,0.1,1.03,12.49
4.1566948890686035,0.017978191375732422,3.9,3.8471590762760304,0.1196,-0.11643704663845414,0.03,-0.021026362815532718,0.0,0.1198,0.1196,0.03,0.01,0.1,0.1,0.98,12.6
4.187600135803223,0.008720159530639648,3.9,3.889558024776598,0.1204,-0.1179653890104708,0.02,0.01260222975391877,0.0,0.1204,0.1204,0.02,0.0,0.09,0.1,0.94,12.65
4.236816167831421,0.017754077911376953,3.9,3.889558024776598,0.1206,-0.11932391556337449,0.0,0.04144997492051061,0.0,0.1203,0.1206,0.0,0.02,0.09,0.1,1.0,12.68
