Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az
0.011270999908447266,0.011270999908447266,3,0.0,0.0,0.0,-0.0,0.0,0.0,0.0001,0.0001,-0.0,0.05,-0.0,0.0,1.0
0.050623178482055664,0.010409116744995117,3,0.0,0.00030298908871601916,0.0,-0.0,0.011055083345345605,0.0,0.0003,0.0003,-0.0,0.11,0.02,0.02,0.99
0.09286212921142578,0.012253046035766602,3,0.0,0.0005984042619825372,0.0,-0.0,0.021833819225838068,0.0,0.0003,0.0003,-0.0,0.03,0.02,0.02,1.0
0.13255739212036133,0.011764049530029297,3,0.0,0.0005894281980527991,0.0,0.0,0.021506311937450496,0.0,0.0017,0.0017,0.0,0.06,0.0,0.0,1.0
0.17098379135131836,0.01001119613647461,3,0.0,0.0005805867750820072,0.0,-0.0,0.02118371725838874,0.0,0.0017,0.0017,-0.0,0.05,-0.0,0.01,1.0
0.21152758598327637,0.01036691665649414,3,0.0,-0.00047641205106386153,0.0,-0.0,-0.017382721449003713,0.0,0.0015,0.0015,-0.0,0.05,-0.07,-0.06,1.0
0.25237059593200684,0.010969161987304688,3,0.0,-0.00016930586070064527,0.0,-0.0,-0.0061774184965960105,0.0,0.0012,0.0012,-0.0,0.0,0.02,0.03,1.0
0.29247069358825684,0.01091909408569336,3,0.0,0.0007321560540279835,0.0,0.0,0.02671398575235485,0.0,0.002,0.002,0.0,0.07,0.06,0.06,1.0
0.33277153968811035,0.011044979095458984,3,0.0,0.0011710387860707325,0.0,0.0,0.04272738478968148,0.0,0.0023,0.0022,0.0,0.1,0.03,0.03,1.0
0.3717465400695801,0.009824991226196289,3,0.0,0.0025957632287993103,0.0,0.01,0.1776841815413529,0.0,0.0028,0.0027,0.01,0.07,0.07,0.06,1.0
0.4110987186431885,0.008991003036499023,3,0.0,0.0036051168048869594,-2.8302636518826966e-05,0.0,0.13164380046399687,0.0,0.0031,0.0031,0.0,0.07,0.07,0.07,1.0
0.45157790184020996,0.009273052215576172,3,0.0,0.004000905125666824,-2.8302636518826966e-05,0.0,0.1460848250298576,0.0,0.0037,0.0037,0.0,0.08,0.03,0.02,1.0
0.4914219379425049,0.008944988250732422,3,0.0,0.0018336521229258542,-2.8302636518826966e-05,0.0,0.06700883362276103,0.0,0.0042,0.0042,0.0,0.04,-0.14,-0.14,0.99
