Time (s),Phi,Gx (deg/s),Ax (mg),Ay (mg),Az (mg),Phi_gyro
0.014288187026977539,0.03777189283736523,-0.0035157311875000513,-0.00122,0.037393,0.996618,0.03778608335797783
0.026858091354370117,0.037766311767753205,0.0013710465902777302,-0.0021349999999999997,0.03721,0.996984,0.037804773219238655
0.04008913040161133,0.037801149615931354,0.0032035882569443896,-0.001281,0.037576,0.997167,0.037846781942052245
0.05329704284667969,0.03782528755172044,0.003050876451388837,-0.0017079999999999999,0.037393,0.996435,0.03788755990777464
0.06502103805541992,0.03783253382596759,-0.0006142068819444957,-0.000732,0.038003,0.996618,0.037880019212303155
0.07881999015808105,0.03782098143215703,0.0007601993680555058,-0.0013419999999999999,0.037271,0.99613,0.03789071216210297
0.09234309196472168,0.037830009418874225,0.0018291820069443882,-0.001464,0.037393,0.9961909999999999,0.037916144845832854
0.10437297821044922,0.03785711884701644,0.0024400292291666126,-0.001952,0.037759,0.9968009999999999,0.03794299718394661
0.1165461540222168,0.03790020223087736,0.00228731742361106,-0.0017079999999999999,0.038064,0.996374,0.03797114921759964
0.127899169921875,0.03787591328341747,0.0006074875624999532,-0.0006709999999999999,0.037149,0.995825,0.03797783211030873
0.14226412773132324,0.03780328283216801,-0.0033630193819444987,-0.0011589999999999999,0.03721,0.9955809999999999,0.03792865091532389
0.15494012832641602,0.03779724376503995,-3.3596597222712576e-06,-0.001769,0.037576,0.996679,0.03792860893944229
0.16690897941589355,0.037794346727633626,0.001065622979166611,-0.00122,0.037393,0.997289,0.037942410983438916
0.18076300621032715,0.03774125058074376,-0.0007669186875000483,-0.00183,0.036782999999999996,0.99613,0.037933113728279705
0.1951451301574707,0.037702080257366315,-0.0018359013263889445,-0.002806,0.037393,0.996984,0.03790518982836282
0.2064671516418457,0.037691992350512,-0.0015304777152778254,-0.0013419999999999999,0.037759,0.996923,0.037886395581402395
0.21904897689819336,0.03769921048875645,0.0007601993680555058,-0.001952,0.037515,0.995215,0.03789475843708511
0.23262810707092285,0.03776052758705899,0.00228731742361106,-0.002257,0.038246999999999996,0.997045,0.03792550028550711
0.24428820610046387,0.037762967987976605,-3.3596597222712576e-06,-0.0017079999999999999,0.037698,0.996557,0.03792545695592656
0.2565591335296631,0.03780534791448158,0.0032035882569443896,-0.002562,0.03782,0.99674,0.03796151953497463
0.2692441940307617,0.037828925211918135,0.0012183347847221776,-0.0015249999999999999,0.037881,0.997167,0.03797765505566091
0.2818131446838379,0.03779523815634497,-0.0007669186875000483,-0.001098,0.037271,0.997533,0.0379676236671317
0.2932929992675781,0.0377550818960247,-0.00214132493750005,-0.001281,0.037393,0.996984,0.037941497209994464
0.3059241771697998,0.037730409064459375,-0.0027521721597222742,-0.0018909999999999999,0.037698,0.995764,0.03791104440782926
0.3188650608062744,0.037762505112584735,0.0009129111736110584,-0.00183,0.038003,0.9961909999999999,0.03792381161393108
0.3322591781616211,0.03780812643236923,0.001065622979166611,-0.001098,0.038246999999999996,0.995642,0.03793851812689463
0.344635009765625,0.03788209807206047,0.003814435479166614,-0.00244,0.038308,0.996374,0.037983738737934286
0.35682201385498047,0.03789728770777633,0.0028981646458332844,-0.001403,0.037454,0.9968009999999999,0.038016864832582146
0.3690640926361084,0.037861917814289665,-0.0001560714652778239,-0.001952,0.037149,0.9974109999999999,0.03801485119519594
0.3828291893005371,0.03787464211031337,0.0027454528402777317,-0.001647,0.037271,0.995825,0.03805204369015686
0.39551711082458496,0.03782464861739968,-0.000919630493055601,-0.00183,0.036966,0.995642,0.03803962672799038
0.4084630012512207,0.037853155840481906,0.003509011868055509,-0.001952,0.037454,0.9958859999999999,0.038081935115551094
0.4208340644836426,0.03791397505533894,0.003814435479166614,-0.0015249999999999999,0.038003,0.9958859999999999,0.03813078254255138
0.43379998207092285,0.03791405315735191,0.0016764702013888355,-0.0017079999999999999,0.037393,0.996618,0.03815253470568256
0.44776320457458496,0.03791591061123425,0.001065622979166611,-0.0015249999999999999,0.037576,0.997167,0.03816760376842583
0.4628181457519531,0.03790507176082573,-0.0012250541041667201,-0.0015249999999999999,0.037881,0.995825,0.03815064030623618
0.47563600540161133,0.03788991703404224,-0.000919630493055601,-0.001098,0.037698,0.996435,0.038139438247081506
0.4901270866394043,0.037944306983808795,0.0015237583958332829,-0.00122,0.03843,0.997045,0.03816327603540133
0.5028121471405029,0.037932255359211416,0.0012183347847221776,-0.001281,0.037332,0.997228,0.03817827638507027
0.5162789821624756,0.03792435161447396,-0.0018359013263889445,-0.002074,0.038064,0.995764,0.03815548379448368
0.5281021595001221,0.03790257456143762,-0.0003087832708333904,-0.001647,0.037454,0.996374,0.038151075890440984
0.5395100116729736,0.03790135917651431,0.00228731742361106,-0.0018909999999999999,0.037271,0.996679,0.03817742121608611
0.5518350601196289,0.037932829624942946,0.004119859090277733,-0.0018909999999999999,0.037515,0.996313,0.03822451523790317
0.5651819705963135,0.037962426670149284,-0.0003087832708333904,-0.0026839999999999998,0.038491,0.996557,0.03822031089224438
