Time;delta;AngRef;angVelref;Realized;Ref_diff
37.1659340858;  0.00192457928328; 1.6072e-13;  -0.02103116912653452; 0.0; -1.189999999999993e-15
37.175850153;  0.0019528819198; 1.5954e-13;  -0.02103116912653452; 0.00283026365188; -1.180000000000001e-15
37.186316967;  0.0019528819198; 1.5837e-13;  -0.021176659539366385; 0.0; -1.169999999999984e-15
37.196532011;  0.0019528819198; 1.5721e-13;  -0.021178620241565402; 0.0; -1.1600000000000173e-15
37.2065770626;  0.0019528819198; 1.5605e-13;  -0.02118061800578968; 0.0; -1.159999999999992e-15
37.2170119286;  0.00192457928328; 1.549e-13;  -0.021041111214577166; -0.00283026365188; -1.1500000000000001e-15
37.2270550728;  0.00192457928328; 1.5377e-13;  -0.021043047905814613; 0.0; -1.1299999999999911e-15
37.2406489849;  0.00186797401024; 1.5263e-13;  -0.020762513595421313; -0.00566052730377; -1.1400000000000083e-15
37.2478849888;  0.00186797401024; 1.5151e-13;  -0.020762513595421313; 0.0; -1.1199999999999993e-15
37.2582960129;  0.00186797401024; 1.504e-13;  -0.0207658548621154; 0.0; -1.1100000000000074e-15
37.2685470581;  0.00183967137372; 1.4929e-13;  -0.020626190910883947; -0.00283026365188; -1.1100000000000074e-15
37.2786109447;  0.00183967137372; 1.482e-13;  -0.02062807970503403; 0.0; -1.0899999999999984e-15
37.2892730236;  0.00178306610069; 1.4711e-13;  -0.020346949825223067; -0.00566052730377; -1.0899999999999984e-15
37.2991349697;  0.00172646082765; 1.4603e-13;  -0.020346949825223067; -0.00566052730377; -1.0799999999999813e-15
37.3095290661;  0.00169815819113; 1.4495e-13;  -0.01992585258410625; -0.00283026365188; -1.0800000000000065e-15
37.3196470737;  0.00169815819113; 1.4389e-13;  -0.019927572684770536; 0.0; -1.0599999999999975e-15
37.3299980164;  0.00166985555461; 1.4283e-13;  -0.019787786606459513; -0.00283026365188; -1.0599999999999975e-15
37.3400740623;  0.00166985555461; 1.4178e-13;  -0.019789470832724382; 0.0; -1.0500000000000056e-15
37.3503479958;  0.00166985555461; 1.4074e-13;  -0.01979118643120678; 0.0; -1.0400000000000137e-15
37.3608441353;  0.00164155291809; 1.397e-13;  -0.019651392957900124; -0.00283026365188; -1.0399999999999885e-15
37.3708369732;  0.00164155291809; 1.3868e-13;  -0.019653037288032343; 0.0; -1.0200000000000047e-15
37.3812091351;  0.00164155291809; 1.3766e-13;  -0.019654738915715522; 0.0; -1.0200000000000047e-15
37.391272068;  0.00164155291809; 1.3664e-13;  -0.0196563916604471; 0.0; -1.0199999999999795e-15
37.4016721249;  0.00164155291809; 1.3564e-13;  -0.019658098689128836; 0.0; -1.000000000000021e-15
37.4117290974;  0.00164155291809; 1.3464e-13;  -0.019659749750940442; 0.0; -9.999999999999957e-16
37.4222450256;  0.00164155291809; 1.3365e-13;  -0.019661475370016057; 0.0; -9.900000000000039e-16
37.4321990013;  0.00161325028157; 1.3267e-13;  -0.019661475370016057; -0.00283026365188; -9.799999999999867e-16
37.442456007;  0.00161325028157; 1.317e-13;  -0.01952322110912872; 0.0; -9.699999999999949e-16
37.4531550407;  0.00161325028157; 1.3073e-13;  -0.019524914552989603; 0.0; -9.700000000000201e-16
37.4630429745;  0.00161325028157; 1.2977e-13;  -0.01952654426385168; 0.0; -9.599999999999777e-16
37.4733870029;  0.00161325028157; 1.2881e-13;  -0.01952821316839253; 0.0; -9.60000000000003e-16
37.4834520817;  0.00161325028157; 1.2787e-13;  -0.019529836879044606; 0.0; -9.400000000000192e-16
37.4938380718;  0.00164155291809; 1.2693e-13;  -0.01967305333310373; 0.00283026365188; -9.39999999999994e-16
37.5038940907;  0.00164155291809; 1.2599e-13;  -0.019674706547486973; 0.0; -9.39999999999994e-16
37.5142281055;  0.00164155291809; 1.2507e-13;  -0.019676402108830596; 0.0; -9.200000000000102e-16
37.5245559216;  0.00166985555461; 1.2415e-13;  -0.019819606843181396; 0.00283026365188; -9.19999999999985e-16
