Time,delta,AngRef,angVelref,Realized,Ref_diff
0.003647804,0,0,0,0,0
0.013602972,2.83E-05,0.0058475,0,0.002830264,0.0058475
0.02363801,0.000141513,0.0076825,0.037855626,0.011321055,0.001835
0.034020901,0.000452842,0.0095112,0.04553658,0.0311329,0.0018287
0.04396081,0.000990592,0.011327,0.04553658,0.053775009,0.0018158
0.054399014,0.001641553,0.013125,0.057896114,0.065096064,0.001798
0.064458847,0.002434027,0.014901,0.062939289,0.079247382,0.001776
0.074850798,0.003283106,0.016652,0.06758765,0.08490791,0.001751
0.084905863,0.00407558,0.018374,0.072379138,0.079247382,0.001722
0.095309973,0.004981264,0.020065,0.07646257,0.090568437,0.001691
0.105538845,0.005886948,0.02172,0.080368177,0.090568437,0.001655
0.115613937,0.006849238,0.023338,0.083816003,0.096228964,0.001618
0.126079798,0.007924738,0.024915,0.086501065,0.107550019,0.001577
0.136096001,0.009113449,0.02645,0.088406397,0.118871073,0.001535
0.146471977,0.010217252,0.02794,0.090521223,0.110380282,0.00149
0.156526804,0.011349357,0.029383,0.09225706,0.113210546,0.001443
0.166906834,0.012538068,0.030779,0.093482808,0.118871073,0.001396
0.17697382,0.013783384,0.032124,0.094165845,0.124531601,0.001345
0.187358856,0.014972095,0.033419,0.094888916,0.118871073,0.001295
0.197620869,0.016075898,0.034661,0.095766927,0.110380282,0.001242
0.207661867,0.017292911,0.035851,0.095821967,0.121701337,0.00119
0.218292952,0.018509924,0.036986,0.095604203,0.121701337,0.001135
0.228154898,0.019613727,0.038067,0.095676142,0.110380282,0.001081
0.23850894,0.020972254,0.039093,0.094201111,0.135852655,0.001026
0.248562813,0.022189267,0.040063,0.093145889,0.121701337,0.00097
0.25896883,0.023321372,0.040978,0.092243992,0.113210546,0.000915
0.269034863,0.024481781,0.041838,0.090916746,0.11604081,0.00086
0.279352903,0.025698794,0.042642,0.089026516,0.121701337,0.000804
0.289676905,0.026859202,0.043391,0.087139788,0.11604081,0.000749
0.299716949,0.027934702,0.044086,0.085399862,0.107550019,0.000695
0.31012392,0.029066808,0.044725,0.083097103,0.113210546,0.000639
0.320394993,0.030170611,0.045311,0.080663582,0.110380282,0.000586
0.330563784,0.031217808,0.045844,0.078241311,0.104719755,0.000533
0.340624809,0.0322084,0.046325,0.075835478,0.099059228,0.000481
0.351042986,0.033227295,0.046754,0.073026924,0.101889491,0.000429
0.361089945,0.03413298,0.047132,0.070519038,0.090568437,0.000378
0.371368885,0.035095269,0.047461,0.067479758,0.096228964,0.000329
0.381772995,0.036000954,0.047741,0.0644734,0.090568437,0.00028
