Time,delta,AngRef,angVelref,Realized,Ref_diff
0.005483866,0,0,0,0,0
0.013880014,0,0.0058475,0,0,0.0058475
0.023802042,2.83E-05,0.0076825,0.038356096,0.002830264,0.001835
0.034227848,0.000367934,0.0095112,0.045858557,0.033963164,0.0018287
0.044257879,0.001018895,0.011327,0.05174485,0.065096064,0.0018158
0.05479002,0.001584948,0.013125,0.057977477,0.056605273,0.001798
0.064702034,0.002320816,0.014901,0.057977477,0.073586855,0.001776
0.075124025,0.003084987,0.016652,0.068277873,0.076417119,0.001751
0.08540988,0.003820856,0.018374,0.073296846,0.073586855,0.001722
0.095540047,0.004811448,0.020065,0.076893105,0.099059228,0.001691
0.105916977,0.00568883,0.02172,0.080881057,0.087738173,0.001655
0.115957975,0.006679422,0.023338,0.084118557,0.099059228,0.001618
0.126332045,0.007754922,0.024915,0.086732775,0.107550019,0.001577
0.136432886,0.008717212,0.02645,0.089703809,0.096228964,0.001535
0.146800995,0.00987762,0.02794,0.091464088,0.11604081,0.00149
0.156898022,0.011066331,0.029383,0.092846587,0.118871073,0.001443
0.167213917,0.012226739,0.030779,0.094139379,0.11604081,0.001396
0.177531004,0.01341545,0.032124,0.095034568,0.118871073,0.001345
0.187855959,0.01460416,0.033419,0.095684525,0.118871073,0.001295
0.198060036,0.015764569,0.034661,0.096208188,0.11604081,0.001242
0.208076954,0.017009885,0.035851,0.096044959,0.124531601,0.00119
0.218447924,0.018226898,0.036986,0.095751601,0.121701337,0.001135
0.228513002,0.019387306,0.038067,0.095467413,0.11604081,0.001081
0.23889184,0.020604319,0.039093,0.094627426,0.121701337,0.001026
0.248960018,0.021708122,0.040063,0.094069378,0.110380282,0.00097
0.259377003,0.022840228,0.040978,0.09309714,0.113210546,0.000915
0.269608021,0.023915728,0.041838,0.09212758,0.107550019,0.00086
0.279662848,0.025104439,0.042642,0.090311861,0.118871073,0.000804
0.290127039,0.026264847,0.043391,0.088362357,0.11604081,0.000749
0.300132036,0.027396952,0.044086,0.086277043,0.113210546,0.000695
0.310531855,0.02844415,0.044725,0.08433755,0.104719755,0.000639
0.320615053,0.02951965,0.045311,0.081985679,0.107550019,0.000586
0.331004858,0.030566847,0.045844,0.079509857,0.104719755,0.000533
0.341053009,0.031500834,0.046325,0.077334374,0.093398701,0.000481
0.351372004,0.032519729,0.046754,0.074472994,0.101889491,0.000429
0.361701012,0.033425414,0.047132,0.071919402,0.090568437,0.000378
0.371754885,0.034331098,0.047461,0.069115334,0.090568437,0.000329
0.382138968,0.035095269,0.047741,0.066773169,0.076417119,0.00028
0.392251968,0.035944348,0.047974,0.063765781,0.08490791,0.000233
0.402626038,0.036765125,0.04816,0.060662852,0.082077646,0.000186
0.416470051,0.037812322,0.048302,0.0562238,0.104719755,0.000142
0.42342186,0.038406678,0.0484,0.0562238,0.059435537,9.80E-05
0.433740854,0.039057638,0.048455,0.050859709,0.065096064,5.50E-05
0.443824053,0.039736902,0.048469,0.047586251,0.067926328,1.40E-05
0.454229832,0.040331257,0.048444,0.044540118,0.059435537,-2.50E-05
0.464397907,0.04089731,0.048381,0.041440497,0.056605273,-6.30E-05
0.474696875,0.041463363,0.048281,0.038152383,0.056605273,-0.0001
0.484747887,0.041916205,0.048145,0.035245766,0.045284218,-0.000136
0.495245934,0.042453955,0.047976,0.031746764,0.053775009,-0.000169
0.505451918,0.042821889,0.047774,0.028926933,0.036793427,-0.000202
0.515527964,0.043189823,0.047542,0.025954043,0.036793427,-0.000232
0.525940895,0.043642666,0.047281,0.022407538,0.045284218,-0.000261
0.535987854,0.043925692,0.046992,0.019565894,0.028302637,-0.000289
0.546368837,0.044152113,0.046676,0.01686951,0.022642109,-0.000316
0.556445837,0.044406837,0.046336,0.013907561,0.025472373,-0.00034
0.566841841,0.044689863,0.045973,0.010685431,0.028302637,-0.000363
0.576881886,0.044746468,0.045587,0.008477471,0.005660527,-0.000386
0.587231874,0.044944587,0.045182,0.005463351,0.019811846,-0.000405
0.597619057,0.045029495,0.044757,0.002912146,0.008490791,-0.000425
0.607638836,0.045114403,0.044316,0.00027771,0.008490791,-0.000441
0.618060827,0.045199311,0.043858,-0.002445213,0.008490791,-0.000458
0.628108025,0.045312521,0.043385,-0.005387904,0.011321055,-0.000473
0.638458967,0.045369126,0.042899,-0.008116258,0.005660527,-0.000486
0.648581028,0.045397429,0.042401,-0.010765971,0.002830264,-0.000498
0.658936024,0.045425732,0.041892,-0.013474441,0.002830264,-0.000509
0.66898489,0.045397429,0.041374,-0.015947194,-0.002830264,-0.000518
0.679455996,0.045425732,0.040848,-0.018747415,0.002830264,-0.000526
0.690006971,0.045454034,0.040314,-0.021591465,0.002830264,-0.000534
0.699707031,0.045454034,0.039775,-0.021591465,0,-0.000539
0.710211992,0.045454034,0.039231,-0.027081929,0,-0.000544
0.720260859,0.045397429,0.038683,-0.029579422,-0.005660527,-0.000548
0.730609894,0.045369126,0.038132,-0.032237852,-0.002830264,-0.000551
0.740680933,0.045312521,0.03758,-0.034761537,-0.005660527,-0.000552
0.751049995,0.045255916,0.037027,-0.037294725,-0.005660527,-0.000553
0.761119843,0.045142705,0.036474,-0.039546064,-0.011321055,-0.000553
0.771494865,0.045001192,0.035922,-0.041654989,-0.014151318,-0.000552
0.782016993,0.044887982,0.035372,-0.043898956,-0.011321055,-0.00055
0.792106867,0.044859679,0.034825,-0.046553241,-0.002830264,-0.000547
