Time,delta,AngRef,angVelref,Realized,Ref_diff
0.822927952,0.044887982,0.033206,-0.056793948,-0.005660527,-0.000535
0.833290815,0.04466156,0.032677,-0.058344109,-0.022642109,-0.000529
0.843382835,0.04454835,0.032154,-0.060430585,-0.011321055,-0.000523
0.853738785,0.044321929,0.031637,-0.061922874,-0.022642109,-0.000517
0.864055872,0.04412381,0.031128,-0.06351738,-0.019811846,-0.000509
0.874055862,0.043897389,0.030626,-0.064935244,-0.022642109,-0.000502
0.884490967,0.043699271,0.030133,-0.066452109,-0.019811846,-0.000493
0.894536972,0.043529455,0.029647,-0.068074906,-0.016981582,-0.000486
0.904975891,0.043359639,0.029171,-0.069650206,-0.016981582,-0.000476
0.914927959,0.043189823,0.028704,-0.069650206,-0.016981582,-0.000467
0.925348997,0.042991705,0.028247,-0.072520671,-0.019811846,-0.000457
0.935433865,0.042736981,0.027799,-0.073532256,-0.025472373,-0.000448
0.946123838,0.042538863,0.027361,-0.074780302,-0.019811846,-0.000438
0.956272841,0.042312442,0.026934,-0.075830034,-0.022642109,-0.000427
0.966322899,0.041944507,0.026516,-0.076126907,-0.036793427,-0.000418
0.976691961,0.041746389,0.02611,-0.077214907,-0.019811846,-0.000406
0.986751795,0.04143506,0.025714,-0.077685765,-0.0311329,-0.000396
0.997142792,0.041265244,0.025329,-0.078811346,-0.016981582,-0.000385
1.007185936,0.040953915,0.024955,-0.079172918,-0.0311329,-0.000374
1.017545938,0.040755797,0.024591,-0.080052542,-0.019811846,-0.000364
1.027808905,0.040585981,0.024239,-0.081012911,-0.016981582,-0.000352
1.037908793,0.040302954,0.023897,-0.08135836,-0.028302637,-0.000342
1.048376799,0.039991625,0.023566,-0.081508283,-0.0311329,-0.000331
1.058432817,0.039765204,0.023246,-0.082026028,-0.022642109,-0.00032
1.068800926,0.039425573,0.022937,-0.081924195,-0.033963164,-0.000309
1.078864813,0.039199152,0.022638,-0.082337106,-0.022642109,-0.000299
1.089246988,0.038916125,0.022349,-0.082418554,-0.028302637,-0.000289
1.099319935,0.038604796,0.022072,-0.082296894,-0.0311329,-0.000277
1.109636784,0.03832177,0.021804,-0.082272936,-0.028302637,-0.000268
1.119948864,0.037982138,0.021546,-0.081914585,-0.033963164,-0.000258
1.130120993,0.037755717,0.021298,-0.082073664,-0.022642109,-0.000248
1.140516996,0.037416085,0.02106,-0.081616473,-0.033963164,-0.000238
1.150617838,0.037076454,0.020832,-0.081107565,-0.033963164,-0.000228
1.161042929,0.036793427,0.020613,-0.080838018,-0.028302637,-0.000219
1.170958996,0.036510401,0.020402,-0.080838018,-0.028302637,-0.000211
1.181389809,0.036255677,0.020201,-0.08030731,-0.025472373,-0.000201
1.19361186,0.036000954,0.020008,-0.080057154,-0.025472373,-0.000193
1.202214956,0.035774533,0.019824,-0.080057154,-0.022642109,-0.000184
