Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az
0.01047205924987793,0.01047205924987793,3,0.0,0.0007805447221382437,-8.490790955648089e-05,-0.0,0.02879408022541148,0.0,0.0105,0.0106,-0.0,0.27,0.05,0.06,0.96
0.04934382438659668,0.009164810180664062,3,0.0,0.001705118701245531,-8.490790955648089e-05,0.0,0.06252876830042957,0.0,0.0565,0.0564,0.0,0.26,0.06,0.06,0.96
0.0894765853881836,0.00909280776977539,3,0.0,0.002615824070666209,-8.490790955648089e-05,0.0,0.09575743605432237,0.0,0.0566,0.0566,0.0,0.26,0.06,0.06,0.96
0.12951040267944336,0.008931875228881836,3,0.0,0.003512868859545577,-8.490790955648089e-05,-0.0,0.1284876737919068,0.0,0.0566,0.0566,-0.0,0.27,0.06,0.06,0.96
0.16975736618041992,0.008984088897705078,3,0.0,0.004396457976591754,-8.490790955648089e-05,-0.0,0.16072695796342745,0.0,0.0568,0.0568,-0.0,0.27,0.06,0.06,0.96
0.21002554893493652,0.009067058563232422,3,0.0,0.005266793256882239,-8.490790955648089e-05,-0.0,0.1924826528723753,0.0,0.0568,0.0568,-0.0,0.27,0.06,0.06,0.96
0.25012755393981934,0.008976936340332031,3,0.0,0.006124073507968367,-8.490790955648089e-05,0.0,0.22376201235768894,0.0,0.0569,0.0569,0.0,0.27,0.06,0.06,0.96
0.2915046215057373,0.010162115097045898,3,0.0,0.006968494555288203,-8.490790955648089e-05,-0.0,0.25457218145072286,0.0,0.057,0.057,-0.0,0.26,0.06,0.06,0.96
0.33049774169921875,0.008968114852905273,3,0.0,0.007800249286898241,-8.490790955648089e-05,0.0,0.2849201980073613,0.0,0.0571,0.0571,0.0,0.27,0.06,0.06,0.96
0.37058377265930176,0.008854866027832031,3,0.0,0.008619527697534128,-8.490790955648089e-05,-0.0,0.3148129943156501,0.0,0.0571,0.0571,-0.0,0.26,0.06,0.06,0.96
0.4108726978302002,0.008964061737060547,3,0.0,0.009426516932010477,-8.490790955648089e-05,-0.0,0.3442573986793146,0.0,0.0572,0.0572,-0.0,0.26,0.06,0.06,0.96
0.45116138458251953,0.00906682014465332,3,0.0,0.01022140132796968,-8.490790955648089e-05,-0.0,0.37326013697752414,0.0,0.0573,0.0573,-0.0,0.26,0.06,0.06,0.96
0.491208553314209,0.008928060531616211,3,0.0,0.011004362457989497,-8.490790955648089e-05,0.0,0.40182783420126056,0.0,0.0573,0.0573,0.0,0.27,0.06,0.06,0.96
0.5314185619354248,0.008944988250732422,3,0.0,0.011775579171059015,-8.490790955648089e-05,0.0,0.4299670159666409,0.0,0.0575,0.0575,0.0,0.26,0.06,0.06,0.96
0.571662425994873,0.009003877639770508,3,0.0,0.012535227633432492,-8.490790955648089e-05,0.0,0.45768411000554055,0.0,0.0576,0.0576,0.0,0.27,0.06,0.06,0.96
0.6117944717407227,0.008962154388427734,3,0.0,0.013283481368870366,-8.490790955648089e-05,0.0,0.4849854476338567,0.0,0.0577,0.0577,0.0,0.27,0.06,0.06,0.96
0.6520655155181885,0.009046077728271484,3,0.0,0.014020511298276672,-8.490790955648089e-05,0.0,0.5118772651977481,0.0,0.0578,0.0578,0.0,0.27,0.06,0.06,0.96
0.6925225257873535,0.009310007095336914,3,0.0,0.014746485778741884,-8.490790955648089e-05,0.0,0.5383657054981812,0.0,0.0579,0.0579,0.0,0.27,0.06,0.06,0.96
0.7323164939880371,0.00892496109008789,3,0.0,0.015461570642000117,-8.490790955648089e-05,-0.0,0.5644568191941077,0.0,0.0579,0.0579,-0.0,0.26,0.06,0.06,0.96
0.7725315093994141,0.008949995040893555,3,0.0,0.016165929232309476,-8.490790955648089e-05,-0.0,0.5901565661845954,0.0,0.058,0.058,-0.0,0.27,0.06,0.06,0.96
0.8127243518829346,0.008960962295532227,3,0.0,0.016859722443764193,-8.490790955648089e-05,0.0,0.6154708169702257,0.0,0.0581,0.0581,0.0,0.27,0.06,0.06,0.96
