R=2000," Q=[2000, 10, 100]"," MassCenterhAndb=[0.5195, 0.4964]",Description = validation position integration with zero steering
Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az,phi_Gyro_intArd,x,y,psi,nu
1.0395739078521729,0.020760059356689453,3.9,0.0,0.0033,0.00011321054607530787,-0.0,0,0.0,0.0033,0.0033,-0.0,-0.0,0.02,0.02,1.0,-0.29,0.0,0.0,0.0,3.360130376056357e-05
1.0791699886322021,0.012968063354492188,3.9,0.0,0.0034,0.00011321054607530787,0.0,0,0.0,0.0034,0.0034,0.0,-0.0,-0.0,-0.0,1.0,-0.29,0.0,0.0,0.0,3.360130376056357e-05
1.1190619468688965,0.022783994674682617,3.9,0.0,0.0034,0.00011321054607530787,-0.0,0,0.0,0.0034,0.0034,-0.0,-0.0,-0.01,-0.0,1.0,-0.29,0.0,0.0,0.0,3.360130376056357e-05
1.1585209369659424,0.011967897415161133,3.9,1.4576514887157974,0.0032,0.00011321054607530787,-0.0,0,0.0,0.0032,0.0032,-0.0,-0.0,0.01,0.01,1.0,-0.3,0.05830605950284718,2.310639239922388e-06,6.028183438788997e-06,3.962948719935257e-05
1.199840784072876,0.024232864379882812,3.9,1.4576514887157974,0.0033,0.00011321054607530787,0.0,0,0.0,0.0033,0.0033,0.0,-0.0,0.0,0.0,1.0,-0.29,0.116612118990706,4.972758102076773e-06,1.2056366877577994e-05,4.5657670638141564e-05
1.2391328811645508,0.010565996170043945,3.9,1.4576514887157974,0.0033,0.00011321054607530787,-0.0,0,0.0,0.0033,0.0033,-0.0,-0.0,0.0,0.0,1.0,-0.3,0.17491817846145769,7.986356586366416e-06,1.808455031636699e-05,5.168585407693056e-05
1.2789227962493896,0.02352595329284668,3.9,1.4576514887157974,0.0034,0.00011321054607530787,0.0,0,0.0,0.0034,0.0034,0.0,-0.0,0.02,0.01,1.0,-0.3,0.23322423791298347,1.1351434692681807e-05,2.411273375515599e-05,5.771403751571956e-05
1.318131923675537,0.015198945999145508,3.9,1.4576514887157974,0.0034,0.00011321054607530787,0.0,0,0.0,0.0034,0.0034,0.0,-0.01,-0.0,-0.0,1.0,-0.29,0.29153029734316455,1.5067992420900662e-05,3.0140917193944986e-05,6.374222095450856e-05
1.3577618598937988,0.022433996200561523,3.9,1.4576514887157974,0.0033,0.00011321054607530787,-0.0,0,0.0,0.0033,0.0033,-0.0,-0.0,0.0,0.0,1.0,-0.3,0.3498363567498821,1.9136029770887925e-05,3.616910063273398e-05,6.977040439329755e-05
1.3996210098266602,0.014089822769165039,3.9,1.8551195116155386,0.0033,0.00011321054607530787,0.0,0,0.0,0.0033,0.0033,0.0,-0.0,0.01,0.0,1.0,-0.29,0.4240411369919889,2.488262121450167e-05,4.38410309970678e-05,7.744233475763137e-05
1.4393517971038818,0.021943092346191406,3.9,1.8551195116155386,0.0033,0.00011321054607530787,-0.0,0,0.0,0.0033,0.0033,-0.0,-0.0,0.0,0.0,1.0,-0.3,0.4982459171878245,3.1198506564658854e-05,5.151296136140162e-05,8.511426512196519e-05
1.479038953781128,0.01356196403503418,3.9,1.8551195116155386,0.0033,0.00011321054607530787,-0.0,0,0.0,0.0033,0.0033,-0.0,-0.0,0.01,0.01,1.0,-0.3,0.5724506973330212,3.808368582098772e-05,5.918489172573544e-05,9.278619548629901e-05
1.5182139873504639,0.022289037704467773,3.9,1.8551195116155386,0.0034,0.00011321054607530787,0.0,0,0.0,0.0034,0.0034,0.0,-0.0,0.0,0.0,1.0,-0.3,0.6466554774232116,4.5538158983083036e-05,6.685682209006926e-05,0.00010045812585063283
1.5580718517303467,0.015074968338012695,3.9,1.8551195116155386,0.0033,0.00011321054607530787,-0.0,0,0.0,0.0033,0.0033,-0.0,-0.0,-0.0,0.0,1.0,-0.3,0.7208602574540279,5.356192605050603e-05,7.452875245440308e-05,0.00010813005621496665
