Time;delta;angVelref;Realized
0.041335105896;  -0.65407392995;  0.2; -16.3518482488
0.0833060741425;  -0.651838021665;  0.2; 0.0558977071247
0.125178098679;  -0.643969888713;  0.2; 0.196703323806
0.167283058167;  -0.636384782126;  0.2; 0.189627664676
0.209049940109;  -0.627865688534;  0.2; 0.212977339804
0.250949144363;  -0.620054160854;  0.2; 0.19528819198
0.292942047119;  -0.612101119993;  0.2; 0.198826021545
0.334638118744;  -0.604487710769;  0.2; 0.190335230589
0.376358032227;  -0.596704485726;  0.2; 0.194580626067
0.418323040009;  -0.588581629046;  0.2; 0.203071417023
0.459938049316;  -0.580685193457;  0.2; 0.197410889719
0.501785039902;  -0.572930271051;  0.2; 0.193873060154
0.543636083603;  -0.565062138098;  0.2; 0.196703323806
0.585469007492;  -0.557137399873;  0.2; 0.198118455632
0.627347946167;  -0.549467385377;  0.2; 0.191750362415
0.669068098068;  -0.541429436605;  0.2; 0.200948719284
0.710972070694;  -0.53341979047;  0.2; 0.200241153371
0.752748966217;  -0.525636565428;  0.2; 0.194580626067
0.795221090317;  -0.517768432475;  0.2; 0.196703323806
0.837037086487;  -0.509815391614;  0.2; 0.198826021545
0.878844976425;  -0.501862350752;  0.2; 0.198826021545
0.920557022095;  -0.494079125709;  0.2; 0.194580626067
0.962368965149;  -0.485984571665;  0.2; 0.20236385111
1.00447010994;  -0.478314557168;  0.2; 0.191750362415
1.04627895355;  -0.470276608397;  0.2; 0.200948719284
1.08803510666;  -0.462351870172;  0.2; 0.198118455632
1.12975597382;  -0.454596947765;  0.2; 0.193873060154
1.17158198357;  -0.446615604267;  0.2; 0.199533587458
1.21339511871;  -0.438690866042;  0.2; 0.198118455632
1.25554203987;  -0.430879338363;  0.2; 0.19528819198
1.29733014107;  -0.422897994864;  0.2; 0.199533587458
1.3391430378;  -0.414916651366;  0.2; 0.199533587458
1.38091206551;  -0.407105123687;  0.2; 0.19528819198
1.42300605774;  -0.399265293371;  0.2; 0.195995757893
1.46479010582;  -0.391312252509;  0.2; 0.198826021545
1.50662112236;  -0.383415816921;  0.2; 0.197410889719
1.54842400551;  -0.375632591878;  0.2; 0.194580626067
1.59015607834;  -0.36765124838;  0.2; 0.199533587458
1.63198709488;  -0.359754812791;  0.2; 0.197410889719
1.67354798317;  -0.351943285112;  0.2; 0.19528819198
1.71544504166;  -0.344188362705;  0.2; 0.193873060154
1.75724411011;  -0.336178716571;  0.2; 0.200241153371
1.79888010025;  -0.328395491528;  0.2; 0.194580626067
1.84071207047;  -0.320385845393;  0.2; 0.200241153371
1.88265109062;  -0.312546015077;  0.2; 0.195995757893
1.92442703247;  -0.304677882125;  0.2; 0.196703323806
1.96618509293;  -0.296781446536;  0.2; 0.197410889719
2.00801610947;  -0.288913313584;  0.2; 0.196703323806
2.04976415634;  -0.280960272722;  0.2; 0.198826021545
2.09153413773;  -0.273063837134;  0.2; 0.197410889719
2.13325715065;  -0.265082493635;  0.2; 0.199533587458
2.17513203621;  -0.257384176502;  0.2; 0.192457928328
2.21698403358;  -0.24943113564;  0.2; 0.198826021545
2.25908899307;  -0.241619607961;  0.2; 0.19528819198
2.30068612099;  -0.233525053917;  0.2; 0.20236385111
2.34246492386;  -0.225826736784;  0.2; 0.192457928328
2.38419103622;  -0.217817090649;  0.2; 0.200241153371
2.43036913872;  -0.209977260333;  0.2; 0.195995757893
2.47352600098;  -0.200948719284;  0.2; 0.225713526238
2.51559305191;  -0.193165494241;  0.2; 0.194580626067
2.55737996101;  -0.185297361289;  0.2; 0.196703323806
2.59934306145;  -0.177259412517;  0.2; 0.200948719284
2.64114904404;  -0.169476187475;  0.2; 0.194580626067
2.68327903748;  -0.161579751886;  0.2; 0.197410889719
2.72509598732;  -0.153711618934;  0.2; 0.196703323806
2.76692605019;  -0.145786880708;  0.2; 0.198118455632
2.80873203278;  -0.138031958302;  0.2; 0.193873060154
2.85060715675;  -0.129965706894;  0.2; 0.201656285197
2.89246511459;  -0.122040968669;  0.2; 0.198118455632
2.93430900574;  -0.114257743627;  0.2; 0.194580626067
2.97605895996;  -0.106191492219;  0.2; 0.201656285197
3.01767015457;  -0.098521477722;  0.2; 0.191750362415
3.05948901176;  -0.0904835289507;  0.2; 0.200948719284
3.10108613968;  -0.082700303908;  0.2; 0.194580626067
3.14293909073;  -0.0746623551367;  0.2; 0.200948719284
3.18470311165;  -0.0669923406401;  0.2; 0.191750362415
3.22662210464;  -0.0588694839592;  0.2; 0.203071417023
3.26844000816;  -0.0510862589165;  0.2; 0.194580626067
3.31019902229;  -0.0431332180547;  0.2; 0.198826021545
3.35200095177;  -0.035293387739;  0.2; 0.195995757893
3.39379000664;  -0.0273686495137;  0.2; 0.198118455632
3.43565893173;  -0.0195005165615;  0.2; 0.196703323806
3.47740006447;  -0.0115757783362;  0.2; 0.198118455632
3.51918697357;  -0.00373594802049;  0.2; 0.195995757893
3.56095600128;  0.00413218493175;  0.2; 0.196703323806
3.60281991959;  0.012000317884;  0.2; 0.196703323806
3.64461493492;  0.0198684508362;  0.2; 0.196703323806
3.68644094467;  0.0276233732424;  0.2; 0.193873060154
3.72823905945;  0.0354632035581;  0.2; 0.195995757893
3.77000808716;  0.043529454966;  0.2; 0.201656285197
3.81187295914;  0.0514258905547;  0.2; 0.197410889719
3.85356998444;  0.05935062878;  0.2; 0.198118455632
3.89540815353;  0.0671904590957;  0.2; 0.195995757893
3.93711709976;  0.0750019867749;  0.2; 0.19528819198
3.97900009155;  0.0829550276367;  0.2; 0.198826021545
4.0208261013;  0.0910778843176;  0.2; 0.203071417023
4.06247401237;  0.0986063856316;  0.2; 0.18821253285
