Time (s),Steering Angle (rad),Reference Steering Rate (rad/s),Measured Steering Rate (rad/s)
0.0029571056365966797,0.0,0.10960651256421591,0.0
0.006493091583251953,0.0,0.10960581474282183,0.0
0.010396003723144531,2.8302636518826966e-05,0.10960442290806885,0.014151318259413483
0.013801097869873047,0.00011321054607530787,0.10960265941368277,0.042453954778240446
0.01768207550048828,0.00022642109215061573,0.10960005182230041,0.05660527303765393
0.020998001098632812,0.0003962369112635775,0.1095972941328968,0.08490790955648089
0.02468705177307129,0.0005660527303765394,0.10959367779831782,0.08490790955648092
0.0279390811920166,0.0007358685494895011,0.10959001302709939,0.08490790955648087
0.030946016311645508,0.0009056843686024629,0.10958619198005215,0.08490790955648092
0.03457903861999512,0.0010471975511965978,0.1095810783067916,0.07075659129706746
0.03850603103637695,0.0012453160068283866,0.10957488864578661,0.09905922781589438
0.04182004928588867,0.0013868291894225213,0.10956917283631523,0.07075659129706735
0.045690059661865234,0.0015283423720166562,0.1095618712852678,0.07075659129706746
0.04819512367248535,0.0016415529180919641,0.1095567640802582,0.05660527303765395
0.05224299430847168,0.0017830661006860988,0.10954804666410477,0.07075659129706735
0.05604410171508789,0.0019245792832802337,0.10953918817692442,0.07075659129706746
0.05980110168457031,0.0020377898293555416,0.10952980962333984,0.05660527303765395
0.06286501884460449,0.0021793030119496765,0.10952166746381585,0.07075659129706746
0.06661820411682129,0.0022925135580249842,0.10951118287398959,0.056605273037653836
0.06992506980895996,0.0024057241041002923,0.10950145650329055,0.05660527303765405
0.07377219200134277,0.002490632013656773,0.10948954013427428,0.04245395477824043
0.07708311080932617,0.002603842559732081,0.10947875407681218,0.056605273037653836
0.08028817176818848,0.0026887504692885617,0.10946787194047117,0.04245395477824043
0.08377718925476074,0.00280196101536387,0.10945548739366015,0.05660527303765405
0.08596205711364746,0.0028585662884015235,0.1094474051053652,0.02830263651882681
0.08855509757995605,0.0029434741979580043,0.10943766366161353,0.04245395477824043
0.09249305725097656,0.003028382107514485,0.10942238516037048,0.04245395477824043
0.09614920616149902,0.00316989529010862,0.1094075023172701,0.07075659129706746
0.09908199310302734,0.003226500563146274,0.10939511533620497,0.028302636518827026
