Time (s),Steering Angle (rad),Reference Steering Rate (rad/s),Measured Steering Rate (rad/s)
0.003309965133666992,0.0,2.19046281962887,0.0
0.007088899612426758,0.0,2.1838695413726517,0.0
0.010061025619506836,5.660527303765393e-05,2.1752424396166843,0.028302636518826967
0.01402902603149414,0.0012170133703095596,2.159029646052368,0.5802040486359529
0.017312049865722656,0.0028585662884015235,2.1415281212032657,0.820776459045982
0.021121978759765625,0.004952961390794719,2.1166396464971364,1.0471975511965979
0.024663925170898438,0.006849238037556125,2.089150401386454,0.9481383233807031
0.02713489532470703,0.00849079095564809,2.067308048645847,0.8207764590459823
0.02929997444152832,0.009849317508551784,2.046629137113625,0.6792632764518469
0.0338749885559082,0.011972015247463807,1.9985058119192445,1.0613488694560116
0.03769993782043457,0.014151318259413483,1.952881370637567,1.089651505974838
0.04102206230163574,0.01587777908706193,1.9096861452651726,0.8632304138242227
0.04500699043273926,0.01780235837034216,1.8533833922049978,0.9622896416401159
0.048278093338012695,0.019189187559764682,1.8037592818837587,0.693414594711261
0.05204296112060547,0.020576016749187204,1.7427736688728903,0.693414594711261
0.055468082427978516,0.021679819573421456,1.6838428832322614,0.5519014121171256
0.059828996658325195,0.02323646458195694,1.604582211681069,0.7783225042677419
0.06352090835571289,0.024311964769672362,1.5336628122437592,0.5377500938577116
0.06673312187194824,0.025727096595613713,1.4690248432275952,0.7075659129706751
0.07050704956054688,0.027170531058073887,1.3904310884166844,0.7217172312300874
0.07358407974243164,0.0284441497014211,1.3235056328937305,0.6368093216736065
0.07736611366271973,0.030000794709956584,1.2393526143850515,0.7783225042677419
0.08011102676391602,0.03135932126286028,1.1758808119516726,0.6792632764518469
0.08437204360961914,0.032972571544433414,1.075803775557176,0.8066251407865682
0.08771395683288574,0.034557519189487726,0.994298306457777,0.7924738225271559
0.09145593643188477,0.03605755892498556,0.9015930227134019,0.7500198677489155
0.09526395797729492,0.03798213820826579,0.805236786838815,0.9622896416401177
0.09792900085449219,0.039482177943763616,0.7356313498729833,0.7500198677489119
0.10239291191101074,0.04151996777311916,0.6233711495266234,1.0188949146777704
0.10535097122192383,0.04290679696254168,0.5407067459322104,0.6934145947112627
0.10899209976196289,0.044661560426708956,0.4429968080083642,0.8773817320836368
0.11268496513366699,0.04599178434309382,0.34292653508464166,0.6651119581924311
0.11597204208374023,0.04735031089599751,0.2531137274976318,0.6792632764518469
0.11985492706298828,0.04831260053763763,0.14690901409490947,0.48114482082006055
0.12395906448364258,0.04969942972706015,0.033632155564524584,0.6934145947112592
0.12801504135131836,0.050435298276549655,-0.0782184946134546,0.36793427474475154
0.13037800788879395,0.0508032325512944,-0.13921491071853107,0.18396713737237405
0.13361001014709473,0.05108625891648268,-0.23214779660520585,0.1415131825941371
0.1385800838470459,0.05119946946255798,-0.35709295084532966,0.056605273037652754
0.142503023147583,0.05117116682603916,-0.4675769519605563,-0.014151318259412321
0.1456010341644287,0.051057956279963845,-0.5564383354759983,-0.05660527303765622
0.14811396598815918,0.050916443097369715,-0.6236356021355748,-0.07075659129706507
0.15247607231140137,0.05049190354958731,-0.7371160173934637,-0.21226977389120216
0.1562490463256836,0.04984094290965429,-0.8340547521095616,-0.3254803199665111
0.15947699546813965,0.04904846908712713,-0.9158537769910498,-0.3962369112635797
0.1632370948791504,0.04819938999156232,-1.008611977266469,-0.4245395477824043
0.16647005081176758,0.04735031089599751,-1.0833832532393741,-0.4245395477824043
0.17009997367858887,0.046671047619545665,-1.172530971097872,-0.33963163822592346
0.17338204383850098,0.04525591579360432,-1.248222086613609,-0.7075659129706715
0.17589712142944336,0.04398229715025711,-1.3049607373543004,-0.6368093216736065
0.18022394180297852,0.04253886268779693,-1.3979574527300995,-0.7217172312300908
0.18440008163452148,0.04058598076799787,-1.4847208959290639,-0.97644095989953
0.1876680850982666,0.039312362124650654,-1.5498774271035543,-0.6368093216736065
0.1913928985595703,0.03769911184307752,-1.620721799024697,-0.8066251407865682
0.1945180892944336,0.03614246683454204,-1.6773319128347226,-0.7783225042677401
0.19854497909545898,0.03441600600689359,-1.74647594584637,-0.8632304138242244
0.2016279697418213,0.033142387363546376,-1.7967026041032432,-0.6368093216736065
0.2053689956665039,0.03161404499152972,-1.8536779492876212,-0.7641711860083278
0.20861005783081055,0.030198913165588374,-1.8997871994707467,-0.7075659129706733
0.21243000030517578,0.028670570793571718,-1.9500450423229332,-0.7641711860083278
0.21584010124206543,0.026802596783329136,-1.9911866544377737,-0.9339870051212912
0.21961593627929688,0.024934622773086557,-2.0324131092073,-0.9339870051212895
0.22190308570861816,0.023491188310626382,-2.05546480364349,-0.7217172312300874
0.22536802291870117,0.021764727482977936,-2.0865986920614206,-0.8632304138242227
0.2298290729522705,0.019698635017103568,-2.1207757124504254,-1.0330462329371843
0.23311996459960938,0.018141990008568084,-2.1419691310571065,-0.7783225042677419
0.23684096336364746,0.015990989633137238,-2.1613999826998906,-1.075500187715423
0.24013900756835938,0.014236226168969964,-2.1747168169401747,-0.8773817320836368
0.24394798278808594,0.01222673897613325,-2.18540855499083,-1.004743596418357
0.2471311092376709,0.010613488694560112,-2.1905268006091005,-0.8066251407865691
0.250885009765625,0.008632304138242225,-2.192047977968517,-0.9905922781589431
0.2545928955078125,0.006877540674074953,-2.188775840141311,-0.8773817320836363
0.2576310634613037,0.004811448208200585,-2.1825263279309524,-1.033046232937184
0.26176905632019043,0.002490632013656773,-2.168940760572356,-1.1604080972719057
0.26505303382873535,0.00033963163822592357,-2.1539220963839605,-1.0755001877154249
