Time (s)	,tdelta (deg)	,Angular velocity (deg/s)
0.007969856262207031,-0.9389187630258837,9.99995985758168
0.01676797866821289,-0.9340538989687549,9.99995985758168
0.02720189094543457,-0.9113512000354864,9.99995985758168
0.035429954528808594,-0.8643241808165735,9.99995985758168
0.0426487922668457,-0.8010809480738974,9.99995985758168
0.052478790283203125,-0.6989188028741897,9.99995985758168
0.0626378059387207,-0.6113512498458691,9.99995985758168
0.0724179744720459,-0.5189188327604194,9.99995985758168
0.08240580558776855,-0.423243172970217,9.99995985758168
0.09108901023864746,-0.3502702121132831,9.99995985758168
0.10106182098388672,-0.24648644556119917,9.99995985758168
0.11107683181762695,-0.141081057656739,9.99995985758168
0.12105798721313477,-0.04540539786653669,9.99995985758168
0.130814790725708,0.03729729110465514,9.99995985758168
0.13735389709472656,0.09891890249495494,9.99995985758168
0.14500999450683594,0.17837834876139416,9.99995985758168
0.15470099449157715,0.2902702220753596,9.99995985758168
0.16360688209533691,0.36486480428466983,9.99995985758168
0.17246794700622559,0.4443242505511091,9.99995985758168
0.18159699440002441,0.5335134249318062,9.99995985758168
0.19093084335327148,0.6210809779601268,9.99995985758168
0.20029687881469727,0.715135016397953,9.99995985758168
0.20986580848693848,0.8156755402452842,9.99995985758168
0.21921396255493164,0.9081079573307338,9.99995985758168
0.2283768653869629,0.9859457822447967,9.99995985758168
0.2384319305419922,1.0913511701492569,9.99995985758168
0.24734282493591309,1.1708106164156962,9.99995985758168
0.2573869228363037,1.279459247024909,9.99995985758168
0.267488956451416,1.3654051787008534,9.99995985758168
0.27585792541503906,1.457837595786303,9.99995985758168
0.28536391258239746,1.5470267701670002,9.99995985758168
0.295058012008667,1.6281078377858158,9.99995985758168
0.3044168949127197,1.7156753908141364,9.99995985758168
0.3145148754119873,1.8113510506043387,9.99995985758168
0.3239569664001465,1.8989186036326595,9.99995985758168
0.33412790298461914,1.9881077780133567,9.99995985758168
0.342864990234375,2.072432088336925,9.99995985758168
0.35313987731933594,2.17135099083188,9.99995985758168
0.3631319999694824,2.2654050292697057,9.99995985758168
0.37415289878845215,2.380540145288424,9.99995985758168
0.3843419551849365,2.4778374264310026,9.99995985758168
0.39417600631713867,2.578377950278334,9.99995985758168
0.4034140110015869,2.6659455033066544,9.99995985758168
0.4127018451690674,2.763242784449233,9.99995985758168
0.4229719638824463,2.8621616869441877,9.99995985758168
0.4315760135650635,2.9481076186201323,9.99995985758168
0.442302942276001,3.0697292200483557,9.99995985758168
0.45204687118530273,3.175134607952816,9.99995985758168
0.4610869884490967,3.2659454036858895,9.99995985758168
0.471376895904541,3.363242684828468,9.99995985758168
0.48071980476379395,3.4718913154376807,9.99995985758168
0.48960089683532715,3.5545940044088726,9.99995985758168
0.49852895736694336,3.629188586618183,9.99995985758168
0.5087049007415771,3.7135128969417512,9.99995985758168
0.5183849334716797,3.8043236926748243,9.99995985758168
0.5277979373931885,3.8902696243507684,9.99995985758168
0.5375568866729736,3.979458798731466,9.99995985758168
0.5475068092346191,4.08324256528355,9.99995985758168
0.5564219951629639,4.169188496959494,9.99995985758168
0.5666379928588867,4.256756049987815,9.99995985758168
0.5744068622589111,4.3216209040828675,9.99995985758168
0.5833108425140381,4.420539806577823,9.99995985758168
0.5922420024871826,4.514593845015648,9.99995985758168
0.60223388671875,4.600539776691593,9.99995985758168
0.6112909317016602,4.68972895107229,9.99995985758168
0.6200590133666992,4.783782989510116,9.99995985758168
0.6286928653717041,4.86972892118606,9.99995985758168
0.6374788284301758,4.947566746100123,9.99995985758168
0.6467819213867188,5.039999163185573,9.99995985758168
0.6565477848052979,5.135674822975775,9.99995985758168
0.6664438247680664,5.236215346823106,9.99995985758168
0.6759159564971924,5.346485598784696,9.99995985758168
0.6855130195617676,5.435674773165393,9.99995985758168
0.6955218315124512,5.529728811603219,9.99995985758168
0.7054989337921143,5.636755820860055,9.99995985758168
0.7164719104766846,5.737296344707387,9.99995985758168
0.72599196434021,5.821620655030954,9.99995985758168
0.736130952835083,5.935134149697296,9.99995985758168
0.7461287975311279,6.019458460020864,9.99995985758168
0.755795955657959,6.105404391696809,9.99995985758168
0.7648298740386963,6.183242216610871,9.99995985758168
0.7748639583587646,6.295134089924837,9.99995985758168
0.7851858139038086,6.40378272053405,9.99995985758168
0.7941398620605469,6.475134060038608,9.99995985758168
0.804095983505249,6.587025933352573,9.99995985758168
0.8141260147094727,6.684323214495151,9.99995985758168
0.824199914932251,6.779998874285354,9.99995985758168
0.8336188793182373,6.872431291370804,9.99995985758168
0.8445549011230469,6.974593436570512,9.99995985758168
0.8544998168945312,7.070269096360714,9.99995985758168
0.8639278411865234,7.1594582707414105,9.99995985758168
0.872931957244873,7.2470258237697305,9.99995985758168
0.8831918239593506,7.350809590321815,9.99995985758168
0.8914458751678467,7.431890657940632,9.99995985758168
0.9004819393157959,7.524323075026081,9.99995985758168
0.9094038009643555,7.616755492111531,9.99995985758168
0.9189198017120361,7.707566287844603,9.99995985758168
0.927771806716919,7.796755462225302,9.99995985758168
0.9363529682159424,7.881079772548869,9.99995985758168
0.9451358318328857,7.973512189634318,9.99995985758168
0.9553048610687256,8.059458121310264,9.99995985758168
0.9644739627838135,8.163241887862347,9.99995985758168
0.9743459224700928,8.260539169004925,9.99995985758168
0.9837348461151123,8.356214828795128,9.99995985758168
0.9941198825836182,8.445404003175824,9.99995985758168
1.0029418468475342,8.529728313499392,9.99995985758168
1.013225793838501,8.630268837346724,9.99995985758168
1.0232999324798584,8.727566118489303,9.99995985758168
1.033031940460205,8.818376914222377,9.99995985758168
