Time (s),Reference Current (A),Measured Steering Angle (rad)
0.002034902572631836,0.5998568936300659,0.0
0.006535053253173828,0.5986702092554268,0.0
0.010181903839111328,0.5960812580422226,5.660527303765393e-05
0.013508081436157227,0.5926730058727437,0.00033963163822592357
0.017241954803466797,0.5876451475379905,0.000877381732083636
0.020473957061767578,0.5822056537518705,0.0015566450085354832
0.024960041046142578,0.5732494887369917,0.0026887504692885617
0.028680086135864258,0.5642724852546513,0.003934066476116948
0.032366037368774414,0.5552607362208117,0.005207685119464162
0.0355989933013916,0.5443958345528255,0.006707724854961991
0.03950095176696777,0.5326110896760727,0.00849079095564809
0.04372000694274902,0.5178288738878987,0.010670093967597766
0.046981096267700195,0.503438098197168,0.01287769961606627
0.050627946853637695,0.4878845562322529,0.014887186808902985
0.05371499061584473,0.4733383490962508,0.01726460827648445
0.057739973068237305,0.4542395829539923,0.019698635017103568
0.06125307083129883,0.4363834279497951,0.021623214300383803
0.06463289260864258,0.4197675039722131,0.02295343821676867
0.06826400756835938,0.39846921878090874,0.02442517531574767
0.07148909568786621,0.3808318686717693,0.025245951774793655
0.0751190185546875,0.35939611170605507,0.025925215051245502
0.07883310317993164,0.3365145295095282,0.026349754599027907
0.08182096481323242,0.316310315671219,0.02651957041814087
0.08554506301879883,0.2924359210637667,0.026661083600735002
0.0887460708618164,0.270989629593858,0.02677429414681031
0.09250903129577637,0.2456304077025877,0.026972412602442097
0.09576988220214844,0.22285707932523346,0.027198833694592715
0.09948301315307617,0.19777131729251762,0.02753846533281864
0.10266399383544922,0.1746575682773115,0.02790639960756339
0.10619306564331055,0.147994655236472,0.028330939155345795
0.10948801040649414,0.12400477355165966,0.0287554787031282
0.11321496963500977,0.09645058613700683,0.029236623523948256
0.11645388603210449,0.07210278098593328,0.02968946570824949
0.12016606330871582,0.044405855435284754,0.030198913165588374
0.12339401245117188,0.021213049175035244,0.030623452713370778
0.1271829605102539,-0.006611563072181445,0.031132900170709663
0.13025188446044922,-0.03169729427044309,0.03161404499152972
0.13398098945617676,-0.059609904223125204,0.032208400358425086
0.13721394538879395,-0.08387700083650575,0.03285936099835811
0.1409740447998047,-0.11178498442927949,0.03382165063999822
0.1442549228668213,-0.13580338183234245,0.034783940281638344
0.14801788330078125,-0.16348806395477652,0.03605755892498556
0.15121102333068848,-0.18557499927273902,0.03713305911270098
0.1550760269165039,-0.21184569825949914,0.03843498039256702
0.15817594528198242,-0.23573250933202797,0.03959538848983893
0.162276029586792,-0.2621806229110835,0.040812401860148485
0.1647648811340332,-0.28304094883372277,0.041746388865269775
0.16872906684875488,-0.3053801004194381,0.042680375870391064
0.17238402366638184,-0.3298048951979383,0.043642665512031185
0.17607498168945312,-0.35287297996973704,0.04440683669803951
0.17949795722961426,-0.3713202650380501,0.0449162841553784
0.18387889862060547,-0.3943318682266132,0.04536912633967963
0.1880650520324707,-0.41745069286521813,0.045595547431830245
0.19185900688171387,-0.44132956229336034,0.045595547431830245
0.19506287574768066,-0.45678670917839675,0.04548233688575493
0.19877409934997559,-0.4744442154110616,0.04536912633967963
0.20183706283569336,-0.4888911946207306,0.045284218430123147
0.20552301406860352,-0.5044478781488368,0.045284218430123147
0.2087569236755371,-0.5172148993074307,0.045284218430123147
0.21252703666687012,-0.5310373274984789,0.04525591579360432
0.2157759666442871,-0.542045677099374,0.04522761315708549
0.21947789192199707,-0.5528888747993143,0.045114402611010185
0.22266101837158203,-0.5619089231552306,0.04497288942841605
0.22618389129638672,-0.5709914724824615,0.04477477097278426
0.22941899299621582,-0.5780021205848912,0.04454834988063364
0.2331678867340088,-0.5849216404190601,0.04423702087892655
0.23640894889831543,-0.5898803953112969,0.04389738924070063
0.24046993255615234,-0.5946609204452908,0.04335963914684291
0.24372410774230957,-0.5974584656707692,0.04279358641646637
0.24745607376098633,-0.5993282087175107,0.04197280995742039
0.25072288513183594,-0.5999899796147271,0.04109542822533675
0.254256010055542,-0.5995082666401615,0.04007653331065898
0.25769591331481934,-0.5979194192415552,0.03911424366901887
0.26142191886901855,-0.5949127254959882,0.03806704611782227
0.265531063079834,-0.5900861398773651,0.03701984856662567
0.26834988594055176,-0.585679693024405,0.036312282653655
0.2727060317993164,-0.5807824982466226,0.0356896246502408
0.27728891372680664,-0.5676875865098693,0.03441600600689359
0.28105807304382324,-0.5579188951195736,0.03359522954784761
0.2843160629272461,-0.5483370131522203,0.03288766363487693
0.28801608085632324,-0.5364436199175218,0.032066887175830956
0.2912108898162842,-0.5257330434364788,0.03135932126286028
0.2949690818786621,-0.5114815039280463,0.030481939530776644
0.29830193519592285,-0.4972207610512877,0.029632860435211832
0.3020040988922119,-0.4811835298701344,0.028500754974458756
0.30524301528930664,-0.4661625063220888,0.027453557423262158
0.3090250492095947,-0.44771028088581605,0.026095030870358464
0.31232595443725586,-0.4307658261676605,0.02482141222701125
0.3159630298614502,-0.41118375170824467,0.023576096220182863
0.31916093826293945,-0.3940770892393609,0.02210435912120386
0.3230569362640381,-0.3723205583489208,0.020859043114375475
0.32616710662841797,-0.35212235819812526,0.0194156086519153
0.32988905906677246,-0.32884019112132096,0.01808538473553043
0.3331270217895508,-0.30815938449947067,0.017009884547815008
0.33677101135253906,-0.28414985798415854,0.01596268699661841
0.3400108814239502,-0.2624587001416573,0.01483058153586533
0.34227800369262695,-0.2443767342466997,0.014038107713338176
0.34624195098876953,-0.22072075405541997,0.013358844436886327
0.35018301010131836,-0.193109350183674,0.012000317883982634
0.35342907905578613,-0.16819748619511143,0.011038028242342518
