Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az
0.011774063110351562,0.011774063110351562,3,0.0,-0.0018093550287015423,0.03789723029870931,-0.0,-0.20641154134113665,0.0,-0.0199,-0.0199,-0.0,0.0,-0.12,-0.12,0.99
0.04919314384460449,0.008997917175292969,3,0.0,-0.0020821747128682774,0.03786892766219048,-0.0,-0.21626099159491358,0.0,0.0178,0.0178,-0.0,-0.0,-0.02,-0.02,1.0
0.08948612213134766,0.009101152420043945,3,0.0,-0.0011520197653571342,0.037529296023964556,-0.0,-0.18106447282377644,0.0,0.0171,0.0172,-0.0,0.01,0.06,0.05,1.0
0.1295933723449707,0.009010076522827148,3,0.0,-0.001584604541729946,0.03733117756833277,-0.0,-0.19611413037505393,0.0,0.0171,0.0172,-0.0,0.01,-0.03,-0.02,1.0
0.1697854995727539,0.009000062942504883,3,0.0,-0.0012608754640067385,0.036963243293588015,-0.0,-0.18293926318083073,0.0,0.0167,0.0168,-0.0,-0.0,0.02,0.02,1.0
0.21015238761901855,0.009186029434204102,3,0.0,-0.0012419623320466375,0.03648209847276796,-0.0,-0.18046673559648968,0.0,0.0165,0.0166,-0.0,0.01,-0.0,-0.0,1.0
0.25015830993652344,0.008985042572021484,3,0.0,-0.0010733378967659592,0.035491506194609015,-0.0,-0.17064443193665021,0.0,0.016,0.0161,-0.0,0.0,0.01,0.01,1.0
0.29038357734680176,0.009014129638671875,3,0.0,-0.0010572378283144697,0.03518017719290192,-0.0,-0.16890364354560455,0.0,0.0156,0.0158,-0.0,0.02,-0.0,-0.0,1.0
0.33045053482055664,0.008893013000488281,3,0.0,-0.0007414192512924943,0.03418958491474298,-0.0,-0.1537107058745126,0.0,0.0154,0.0155,-0.0,-0.03,0.02,0.01,1.0
0.37065649032592773,0.00889897346496582,3,0.0,-0.0021725879870427454,0.03302917681747107,-0.01,-0.2846037860168854,0.0,0.0148,0.0149,-0.01,-0.01,-0.07,-0.06,1.0
0.41121649742126465,0.009263992309570312,3,0.0,-0.000874140849628668,0.03133101862634145,-0.01,-0.23093668932157277,0.0,0.0144,0.0146,-0.01,-0.02,0.11,0.11,0.99
0.45111846923828125,0.008980035781860352,3,0.0,3.789358993388104e-05,0.028500754974458756,-0.0,-0.10420128340952975,0.0,0.0139,0.0141,-0.0,-0.07,0.06,0.05,1.0
0.4913485050201416,0.0090179443359375,3,0.0,0.000786701121914015,0.026349754599027907,-0.0,-0.06891114356132663,0.0,0.014,0.0141,-0.0,0.03,0.05,0.04,1.0
0.531625509262085,0.009109020233154297,3,0.0,0.0006249056047853261,0.025330859684350136,-0.0,-0.07103993602256257,0.0,0.0138,0.014,-0.0,-0.05,-0.01,-0.01,1.0
0.5716047286987305,0.008895158767700195,3,0.0,0.0005214920303108046,0.025302557047831308,-0.01,-0.1576815600211035,0.0,0.0137,0.0138,-0.01,-0.06,0.02,0.02,1.0
0.6123626232147217,0.009456872940063477,3,0.0,0.00041962965945340077,0.025047833319161866,-0.01,-0.16045453608247645,0.0,0.0131,0.0132,-0.01,-0.07,0.02,0.03,1.0
0.653618574142456,0.010463953018188477,3,0.0,-0.00013065978573837897,0.02238738548639213,-0.01,-0.1706769075769308,0.0,0.0125,0.0127,-0.01,-0.06,-0.01,-0.01,1.0
0.6953706741333008,0.012011051177978516,3,0.0,-0.0003170195821029522,0.018679740102425797,-0.02,-0.2467144754579968,0.0,0.0118,0.012,-0.02,-0.05,0.04,0.05,1.0
0.733642578125,0.010045051574707031,3,0.0,-0.000256399215518239,0.015226818447128908,-0.01,-0.14873769249105367,0.0,0.0111,0.0114,-0.01,-0.05,0.03,0.02,1.0
0.777320384979248,0.013533830642700195,3,0.0,-0.0002525532272854654,0.01417962089593231,-0.0,-0.06174466687981345,0.0,0.0106,0.0108,-0.0,-0.02,-0.0,-0.01,1.0
0.8130683898925781,0.009093999862670898,3,0.0,-0.0004927699285762046,0.01417962089593231,-0.01,-0.1534826406029246,0.0,0.0099,0.0101,-0.01,-0.03,0.01,0.01,1.0
0.8536052703857422,0.00944209098815918,3,0.0,-0.00033538337934758283,0.01417962089593231,0.0,-0.06476686889518901,0.0,0.0099,0.0099,0.0,-0.02,0.01,-0.0,1.0
0.8932993412017822,0.00892186164855957,3,0.0,-0.00018035762835739037,0.013500357619480463,-0.0,-0.05659408627912599,0.0,0.0098,0.0098,-0.0,-0.0,0.01,0.01,1.0
