R=1," Q=[10, -9, -9, 10]"," MassCenterhAndb=[0.5195, 0.4964]",Description = 
Time,Calculation Time,Measured Velocity,Phi,Delta,Phi Dot,Control Input,a_x,ay,az,x,y,psi,nu,phi_ref,delta_ref,delta_ctrl_ref,x1_ref,x2_ref,x1,x2,delta_k,pot
0.00761,0.00709,0.00000,-0.00993,0.06241,-0.00685,0.00000,0.02196,0.03617,0.99546,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06030,-0.01638,0.00000,0.00000
0.02582,0.00745,0.00000,-0.00771,0.06241,-0.00364,0.00000,0.02007,0.03569,0.99711,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06656,-0.01762,0.00000,0.00000
0.04326,0.00974,0.00000,-0.00542,0.06241,-0.00426,0.00000,0.02031,0.03953,0.99924,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07646,-0.01975,0.00000,0.00000
0.06316,0.00897,0.00000,-0.00345,0.06241,-0.00380,0.00000,0.03379,0.03526,0.99369,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08410,-0.02136,0.00000,0.00000
0.08158,0.00836,0.00000,-0.00175,0.06241,-0.00578,0.00000,0.00915,0.03202,0.98704,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09273,-0.02327,0.00000,0.00000
0.10314,0.01012,0.00000,-0.00074,0.06235,-0.00899,0.00000,-0.00311,0.02190,0.99955,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.09958,-0.02482,0.00000,0.00000
0.12472,0.00989,0.00000,0.00160,0.06232,-0.00502,0.00000,0.02501,0.04849,1.00266,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10564,-0.02599,0.00000,0.00000
0.14549,0.00981,0.00000,0.00256,0.06227,-0.00700,0.00000,-0.00433,0.02306,0.97484,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11121,-0.02724,0.00000,0.00000
0.16460,0.00913,0.00000,0.00259,0.06212,-0.01159,0.00000,-0.03080,0.00726,0.99552,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11511,-0.02820,0.00000,0.00000
0.18250,0.00852,0.00000,0.00363,0.06184,-0.02060,0.00000,-0.02355,0.03135,1.02657,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.12677,-0.03095,0.00000,0.00000
0.19876,0.00896,0.00000,0.00546,0.06142,-0.01861,0.00000,-0.00275,0.04685,1.02840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13184,-0.03195,0.00000,0.00000
0.21360,0.00804,0.00000,0.00602,0.06094,-0.01815,0.00000,-0.05893,0.02263,1.01675,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13302,-0.03216,0.00000,0.00000
0.23377,0.00882,0.00000,0.00702,0.06062,-0.01113,0.00000,0.13817,0.03062,1.00400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13050,-0.03139,0.00000,0.00000
0.25405,0.00888,0.00000,0.00946,0.06060,-0.00013,0.00000,0.04282,0.05191,0.92873,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13082,-0.03112,0.00000,0.00000
0.27241,0.00834,0.00000,0.00971,0.06060,0.00078,0.00000,-0.03934,0.01336,0.93354,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13106,-0.03115,0.00000,0.00000
0.29080,0.00829,0.00000,0.01181,0.06060,0.00842,0.00000,0.28396,0.04923,0.97033,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13297,-0.03132,0.00000,0.00000
0.31005,0.00778,0.00000,0.01192,0.06062,-0.03907,0.00000,-0.21533,0.02769,1.00723,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.17483,-0.04170,0.00000,0.00000
0.33009,0.00824,0.00000,0.01166,0.06045,-0.00578,0.00000,-0.12218,0.00921,0.99826,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.14451,-0.03421,0.00000,0.00000
0.34854,0.00819,0.00000,0.02106,0.06040,0.02843,0.00000,0.41931,0.20612,0.98735,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.15301,-0.03498,0.00000,0.00000
0.36749,0.01006,0.00000,0.02085,0.06040,0.07286,0.00000,0.44890,-0.00970,0.93897,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.11345,-0.02519,0.00000,0.00000
0.38596,0.00767,0.00000,0.00275,0.06040,0.05500,0.00000,-0.18446,-0.31750,0.82137,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.05514,-0.01330,0.00000,0.00000
0.40629,0.00832,0.00000,0.01180,0.06040,0.00491,0.00000,0.21600,0.18861,1.00260,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13571,-0.03201,0.00000,0.00000
0.42609,0.00931,0.00000,-0.00082,0.05949,0.00369,0.00000,0.02861,-0.27694,1.12173,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.08389,-0.02094,0.00000,0.00000
0.44386,0.00817,0.00000,-0.00935,0.05485,-0.01998,0.00000,-0.43871,-0.17409,0.95014,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.06261,-0.01687,0.00000,0.00000
