Time,Calculation Time,Reference Velocity,Measured Velocity,Phi,Delta,Phi Dot,Control Input,Velocity Control Input,phi_roll_comp,phi_uncomp,phi_dot,a_x,ay_roll_comp,ay,az
0.010699987411499023,0.010699987411499023,3,0.0,-0.0016598583176084362,0.036340585290173824,0.0,-0.19519014698774861,0.0,-0.0193,-0.0193,0.0,0.01,-0.11,-0.12,0.99
0.0492100715637207,0.009023904800415039,3,0.0,-0.0004375106571607487,0.036312282653655,-0.0,-0.15048581882000706,0.0,0.0422,0.0423,-0.0,0.04,0.08,0.08,1.0
0.0894021987915039,0.009027957916259766,3,0.0,0.00031842793852580474,0.03628398001713617,-0.0,-0.12279923576582548,0.0,0.0423,0.0423,-0.0,0.05,0.05,0.06,1.0
0.129594087600708,0.009019851684570312,3,0.0,0.0010630274552770598,0.03628398001713617,-0.0,-0.09563122865549559,0.0,0.0422,0.0423,-0.0,-0.01,0.05,0.05,1.0
0.17024493217468262,0.009486913681030273,3,0.0,0.002244531829131465,0.03628398001713617,-0.0,-0.05252198871156803,0.0,0.0424,0.0424,-0.0,0.02,0.08,0.08,1.0
0.2099897861480713,0.009028911590576172,3,0.0,0.0025108238612917516,0.03628398001713617,0.0,-0.04280586123579409,0.0,0.0424,0.0424,0.0,0.01,0.02,0.02,1.0
0.25078582763671875,0.009624958038330078,3,0.0,0.0027731215129696337,0.03628398001713617,0.0,-0.033235475672156775,0.0,0.0421,0.0421,0.0,0.02,0.02,0.01,1.0
0.29030680656433105,0.008964061737060547,3,0.0,0.0031813897631282582,0.036114164198023206,0.0,-0.01770999951554883,0.0,0.0421,0.0421,0.0,-0.06,0.03,0.03,1.0
0.3350210189819336,0.013430118560791016,3,0.0,0.003045748876979406,0.03574622992327846,-0.01,-0.10426929360851002,0.0,0.0414,0.0415,-0.01,-0.18,0.02,0.03,0.98
0.37332892417907715,0.011574983596801758,3,0.0,0.0037605695046471063,0.03574622992327846,0.05,0.41965167899278677,0.0,0.0426,0.0424,0.05,-0.06,-0.08,-0.14,0.99
0.4110989570617676,0.009129047393798828,3,0.0,0.0028323026444689635,0.03574622992327846,0.02,0.13686249973551756,0.0,0.0424,0.0422,0.02,-0.03,-0.11,-0.11,0.99
0.4521160125732422,0.009919166564941406,3,0.0,0.0032396831776550982,0.03574622992327846,-0.0,-0.014220013687509928,0.0,0.0416,0.0416,-0.0,0.03,0.03,0.04,1.0
0.4946000576019287,0.012001991271972656,3,0.0,0.00482295300284344,0.03577453255979728,0.03,0.29236323686856047,0.0,0.0435,0.0432,0.03,-0.03,0.03,0.01,1.0
0.531865119934082,0.009073972702026367,3,0.0,0.005294603708100767,0.03860479621167998,0.01,0.1331407376182097,0.0,0.0438,0.0436,0.01,-0.03,0.01,0.01,1.0
0.5724163055419922,0.009438037872314453,3,0.0,0.007200634438162818,0.04454834988063364,0.02,0.2636403416109114,0.0,0.0442,0.044,0.02,-0.01,0.08,0.07,1.0
0.6122074127197266,0.009035110473632812,3,0.0,0.008480305228439728,0.05009566663832373,0.02,0.28978076416162385,0.0,0.0451,0.0449,0.02,-0.01,0.04,0.03,1.0
0.6524755954742432,0.009116172790527344,3,0.0,0.008503095650313111,0.054425970025704255,0.0,0.1086237703731423,0.0,0.0449,0.0448,0.0,-0.04,0.01,0.02,1.0
0.6925187110900879,0.008968114852905273,3,0.0,0.009966999001241974,0.05838833913834003,0.01,0.23033108504918368,0.0,0.0457,0.0455,0.01,-0.0,0.08,0.07,1.0
